id,x,y,time_s
624,477529.9067,3006468.71,1573671600
624,477531.3848,3006464.465,1573672200
624,477475.4182,3006464.755,1573672800
624,477364.708,3006408.09,1573673400
624,477346.1454,3006370.465,1573674000
624,477359.8181,3006355.675,1573674600
624,477345.3296,3006373.977,1573675200
624,477339.4043,3006383.957,1573675800
624,477232.0837,3006383.045,1573676400
624,477239.9322,3006341.495,1573677000
624,477237.6319,3006345.741,1573677600
624,477267.2907,3006313.754,1573678200
624,477233.9992,3006347.232,1573678800
624,477208.7828,3006370.904,1573679400
624,477223.6195,3006358.881,1573680000
624,477225.2727,3006358.324,1573680600
624,477225.5982,3006357.582,1573681200
624,477230.395,3006358.869,1573681800
624,477222.6258,3006357.222,1573682400
624,477225.7704,3006359.608,1573682940
624,477219.3303,3006358.889,1573683600
624,477226.2633,3006358.323,1573684200
624,477224.9424,3006356.475,1573684740
624,477178.5858,3006287.699,1573685340
624,477186.5172,3006199.628,1573685940
624,477261.3052,3006198.76,1573686600
624,477327.989,3006099.505,1573687200
624,477348.6029,3006088.391,1573687800
624,477343.6587,3006093.196,1573688400
624,477344.3351,3006100.206,1573689000
511,478029.3057,3006818.138,1573689600
624,477318.2816,3006121.487,1573689600
511,478159.54,3006822.649,1573690200
624,477410.5815,3006032.155,1573690200
511,478234.1231,3006876.548,1573690800
624,477479.5848,3006030.922,1573690800
511,478503.0969,3006918.779,1573691400
624,477567.346,3006170.136,1573691400
511,478642.738,3006950.903,1573692000
624,477512.982,3006055.041,1573692000
511,478977.7875,3007069.711,1573692600
624,477518.2526,3006049.87,1573692600
511,479110.4622,3007066.475,1573693200
624,477519.3916,3006038.792,1573693200
511,479271.975,3007154.626,1573693800
624,477529.8156,3006051.322,1573693800
511,479436.0455,3007323.367,1573694400
624,477640.4783,3005986.692,1573694400
511,479083.5487,3007148.175,1573695000
624,477508.2122,3006063.18,1573695000
511,479187.8595,3007083.026,1573695600
624,477513.1411,3006049.879,1573695600
511,479189.8137,3007084.739,1573696200
624,477516.9521,3006059.287,1573696200
511,479186.9805,3007084.534,1573696800
624,477503.7341,3006051.923,1573696800
511,479186.3168,3007084.502,1573697400
624,477479.3426,3005984.768,1573697400
511,479185.8223,3007084.968,1573698000
624,477487.7027,3006044.564,1573698000
511,479186.5631,3007083.726,1573698600
624,477478.1283,3006047.174,1573698600
511,479187.6735,3007090.248,1573699200
624,477481.5954,3006047.167,1573699200
511,479187.9164,3007087.423,1573699800
624,477480.143,3006065.623,1573699800
511,479187.3076,3007084.688,1573700400
624,477472.5172,3006044.78,1573700400
511,479188.2695,3007085.329,1573701000
624,477491.0549,3006074.099,1573701000
511,479186.9804,3007084.5,1573701600
624,477486.0949,3006070.231,1573701600
511,479187.7222,3007083.857,1573702200
624,477483.4338,3006055.837,1573702200
511,479188.4937,3007083.202,1573702800
624,477486.7242,3006051.212,1573702800
511,479189.808,3007081.328,1573703400
624,477498.9149,3006038.275,1573703400
511,479189.067,3007082.492,1573704000
624,477486.2252,3006049.186,1573704000
511,479190.9342,3007079.543,1573704600
624,477470.7145,3006055.86,1573704600
511,479186.3185,3007085.543,1573705200
624,477485.5578,3006047.16,1573705200
511,479187.231,3007086.25,1573705800
624,477562.7489,3006005.108,1573705800
511,479186.518,3007086.406,1573706400
624,477472.5326,3006053.276,1573706400
511,479187.5603,3007087.734,1573707000
624,477470.5135,3006032.412,1573707000
511,479188.6628,3007089.515,1573707600
624,477478.4179,3006021.144,1573707600
511,479187.2615,3007086.771,1573708200
624,477493.3111,3006039.947,1573708200
511,479189.1602,3007090.832,1573708800
624,477645.4658,3006093.946,1573708800
624,477484.1677,3006007.1,1573709400
511,479186.9783,3007083.238,1573709460
624,477489.2962,3006010.967,1573710000
511,479186.4595,3007086.927,1573710060
511,479184.6988,3007088.381,1573710600
624,477483.0151,3006010.613,1573710600
511,479187.2281,3007084.533,1573711200
624,477486.163,3006014.85,1573711200
